oriented_acc,mean_ang_err_oriented,mean_ang_err_unsigned,rms_ang_oriented,pct_good_5deg,pct_good_10deg,n_points,model,variant,method,width_config,time_sec
1.0,5.247541015135435,5.247541015135435,6.007924492094482,0.526,0.9292,40000,torus,sigmap0025,pca_mst,-,1.425940990447998
0.99395,12.263321876525879,11.935302734375,18.13692283630371,0.222475,0.5675,40000,torus,sigmap005,wnnc_cuda,l3,0.4838724136352539
0.99215,13.79316520690918,13.386168479919434,20.397756576538086,0.20015,0.51935,40000,torus,sigmap005,ours_torch,l3,74.54812264442444
0.99985,11.803325344191991,11.799906033812217,13.975372438729508,0.154325,0.468975,40000,torus,sigmap005,pca_mst,-,1.511718988418579
0.9032,33.19068908691406,27.340965270996094,48.376747131347656,0.0818,0.253075,40000,torus,sigmap01,wnnc_cuda,l4,0.5817036628723145
0.911175,31.474571228027344,25.94339370727539,46.689796447753906,0.090125,0.272675,40000,torus,sigmap01,ours_torch,l4,74.55121684074402
0.98375,28.481161858756806,28.069545570061326,34.91999687949714,0.0365,0.135675,40000,torus,sigmap01,pca_mst,-,1.6221587657928467
1.0,7.016905307769775,7.016905307769775,10.787067413330078,0.561,0.8096,40000,bunny,clean,wnnc_cuda,l0,0.4172542095184326
1.0,6.917978286743164,6.917978286743164,10.610319137573242,0.566225,0.813425,40000,bunny,clean,ours_torch,l0,74.5545425415039
1.0,6.038774231022524,6.038774231022524,8.181993049767481,0.5582,0.846825,40000,bunny,clean,pca_mst,-,1.741962194442749
0.996025,15.352156639099121,15.160490989685059,20.105567932128906,0.126475,0.38615,40000,bunny,sigmap0025,wnnc_cuda,l2,0.466336727142334
0.995525,16.356985092163086,16.143259048461914,21.318445205688477,0.114525,0.354225,40000,bunny,sigmap0025,ours_torch,l2,74.55961465835571
0.999625,9.294096174082688,9.282485832136171,11.854883013030411,0.274175,0.66285,40000,bunny,sigmap0025,pca_mst,-,1.581578016281128
0.9816,21.148269653320312,20.117416381835938,29.12981414794922,0.083725,0.2789,40000,bunny,sigmap005,wnnc_cuda,l3,0.534975528717041
0.982925,20.825037002563477,19.870899200439453,28.611614227294922,0.084825,0.28355,40000,bunny,sigmap005,ours_torch,l3,74.55025863647461
0.99575,17.006519959224978,16.828167118924707,21.511469289149836,0.091075,0.306575,40000,bunny,sigmap005,pca_mst,-,1.6604132652282715
0.89895,38.09697341918945,31.32589340209961,51.81060791015625,0.040225,0.140675,40000,bunny,sigmap01,wnnc_cuda,l4,0.6268424987792969
0.8283,46.715911865234375,34.52155685424805,62.76150894165039,0.0348,0.1248,40000,bunny,sigmap01,ours_torch,l4,74.55235600471497
0.94805,36.78749074504622,34.14299265636654,45.69838455736105,0.025325,0.092075,40000,bunny,sigmap01,pca_mst,-,1.6919291019439697
1.0,9.290159225463867,9.290159225463867,12.331798553466797,0.3458,0.672475,40000,armadillo,clean,wnnc_cuda,l0,0.48020029067993164
1.0,9.194594383239746,9.194594383239746,12.199953079223633,0.3502,0.678175,40000,armadillo,clean,ours_torch,l0,74.55247855186462
0.99795,12.614283506896172,12.416930193442216,16.66322530962828,0.215325,0.488275,40000,armadillo,clean,pca_mst,-,1.6679375171661377
0.9974,18.69831657409668,18.582197189331055,23.07547950744629,0.0806,0.270875,40000,armadillo,sigmap0025,wnnc_cuda,l2,0.5152912139892578
0.9966,19.599393844604492,19.458858489990234,24.18434715270996,0.072575,0.2503,40000,armadillo,sigmap0025,ours_torch,l2,74.55275988578796
0.015525,162.1405723023632,15.943464693139697,163.3975157825358,0.11075,0.345625,40000,armadillo,sigmap0025,pca_mst,-,1.620408535003662
0.978075,26.806943893432617,25.749317169189453,34.33197784423828,0.048825,0.17195,40000,armadillo,sigmap005,wnnc_cuda,l3,0.5593557357788086
0.98015,26.290035247802734,25.35246467590332,33.598148345947266,0.05205,0.176825,40000,armadillo,sigmap005,ours_torch,l3,74.55145168304443
0.9819,25.778821558353485,24.769203662076812,32.69962054197569,0.043725,0.16285,40000,armadillo,sigmap005,pca_mst,-,1.6138489246368408
0.91995,38.95063018798828,34.2332763671875,49.915645599365234,0.0273,0.100925,40000,armadillo,sigmap01,wnnc_cuda,l4,0.6879904270172119
0.873525,44.62405014038086,37.19498825073242,57.032264709472656,0.023625,0.090275,40000,armadillo,sigmap01,ours_torch,l4,74.54861497879028
0.882825,48.226649394265166,40.99490144770857,58.97677922574874,0.0147,0.057,40000,armadillo,sigmap01,pca_mst,-,1.6878399848937988
0.99905,7.939648628234863,7.887171268463135,12.188237190246582,0.495925,0.7652,40000,dragon,clean,wnnc_cuda,l0,0.5284364223480225
0.999075,7.839371681213379,7.789532661437988,12.039098739624023,0.498175,0.769225,40000,dragon,clean,ours_torch,l0,74.54990744590759
0.966475,15.407739077168555,10.69007957650909,32.84633467290209,0.335975,0.6491,40000,dragon,clean,pca_mst,-,1.842247724533081
